twitter_handle,user_name,user_location,user_type,total_tweets,follower_count,following_count,created_at
Asian Trader,AsianTrader,"London, UK",False,11193,3835,689,2011-05-27 11:48:03+00:00
nottsonline,nottsonline1,nottingham #notts,False,13182,805,2397,2018-12-13 10:46:15+00:00
Joe Paryzek 1776,paryzek,"Lawrenceville, GA",False,2042,238,391,2012-04-27 20:38:24+00:00
AnnetteRochelleAben,YouAreTheExpert,"Westland, MI.",False,410909,6522,3229,2014-01-26 17:26:53+00:00
Arrive Alive,_ArriveAlive,South Africa,True,225426,266814,976,2010-06-11 08:01:05+00:00
Indie Book Butler,IndieBookButler,Floating in the Bibliosphere,False,387139,111008,104717,2015-01-16 21:51:54+00:00
Shoutbooksy,ShoutBooksy,"California, USA",False,11351,2177,4830,2021-05-13 19:28:39+00:00
Book Promotion,quotesasimage,,False,154814,15719,14201,2015-08-05 05:58:07+00:00
Arrive Alive,_ArriveAlive,South Africa,True,225426,266814,976,2010-06-11 08:01:05+00:00
mediajiggoo,mediajiggoo1,UK,False,255,120,230,2022-09-07 16:20:51+00:00
Michele Weinstat Miller (also Michele W. Miller),MicheleWMiller_,NYC,False,51297,11563,8342,2012-12-24 13:26:17+00:00
Indie Book Butler,IndieBookButler,Floating in the Bibliosphere,False,387139,111008,104717,2015-01-16 21:51:54+00:00
The Crime Scene Cleaners,SceneCleaners,East London,False,4475,915,1083,2021-10-22 20:24:25+00:00
Arrive Alive,_ArriveAlive,South Africa,True,225426,266814,976,2010-06-11 08:01:05+00:00
Voice of the Cape,VOCfm,"Cape Town, South Africa",False,31990,8701,2123,2011-12-29 20:35:11+00:00
Gurbaksh Singh Chahal,gchahal,"Hong Kong | Bay Area, USA",True,59931,516284,158978,2008-04-13 01:22:47+00:00
Gurbaksh Singh Chahal,gchahal,"Hong Kong | Bay Area, USA",True,59931,516284,158978,2008-04-13 01:22:47+00:00
Paul Walker,PWalkerauthor,"England, United Kingdom",False,2157,727,917,2011-12-03 21:56:20+00:00
UK News Uncut,UKNewsUncut,"Manchester, England",False,2729,125,119,2015-10-26 00:27:49+00:00
Locally.News,LocallyNews247,,False,12124,614,1912,2020-05-05 17:58:07+00:00
EPP Group,EPPGroup,"Brussels, Belgium",True,42642,124081,2862,2009-07-03 10:01:25+00:00
Soundmash News,soundmashnews,India,False,3302,13,14,2022-09-03 07:41:42+00:00
LatestLY,latestly,"Mumbai, India",True,291494,74867,350,2017-02-07 05:41:28+00:00
Save Redland Library,SaveRedlandLibr,"Bristol, England",False,299751,4167,5004,2017-07-12 10:40:30+00:00
Dynamite News,DynamiteNews_,"New Delhi, India",True,158334,17727,63,2015-08-01 05:56:52+00:00
Self-Publishers' Showcase,SelfPubShow3,Reclining with a great read.,False,358127,68526,65102,2012-06-27 21:54:50+00:00
Say No to WAR ğŸ‡«ğŸ‡®ğŸ‡©ğŸ‡°ğŸ‡¸ğŸ‡ªğŸ‡ªğŸ‡¸ğŸ‡®ğŸ‡¹ğŸ‡«ğŸ‡·ğŸ‡ºğŸ‡¸ğŸ‡ºğŸ‡¦ğŸ‡ªğŸ‡º,ElmagicoContigo,,False,19924,283,1027,2009-04-13 20:18:45+00:00
Deborah Thomas,DebThom2,United Kingdom,False,1892,217,246,2011-04-27 06:20:02+00:00
"Hallmark Abstract Service...You Buy, We Protect!",NewYorktitleins,New York,False,1111,90,133,2010-01-13 16:56:23+00:00
Gallo Images Editorial,Gallo_Editorial,South Africa,False,2962,406,1159,2018-04-17 11:18:39+00:00
Phil Hall,BizSuperstar,USA,True,30224,1816,2487,2012-12-21 23:03:44+00:00
Donato Yaakov Secchi,doyaksec,,False,39861,846,1949,2014-11-29 19:52:14+00:00
Scruffy Cop,scruffycop,Cheshire.,False,107,110,134,2020-01-24 20:30:01+00:00
Carole Parkes,CaroleParkes1,England,False,208214,15074,14386,2013-04-06 18:08:06+00:00
Reggae Love Alive,rastapicney,Kingston Jamaica,False,16063,1347,4807,2009-04-04 08:00:37+00:00
Locally.News,LocallyNews247,,False,12124,614,1912,2020-05-05 17:58:07+00:00
Anthony Badaloo,BadalooAnthony,"Barnet, London",False,8399,222,1699,2019-03-30 10:46:23+00:00
Emma Welton | ğšğšŠğš–ğš™ğš™ğšğš‹ğš‹ğš•ğšğšœ.ğšŒğš˜ğš–,damppebbles,Oxfordshire,False,216317,14953,5876,2014-08-15 20:03:50+00:00
Arrive Alive,_ArriveAlive,South Africa,True,225426,266814,976,2010-06-11 08:01:05+00:00
OGx3,UpTownRadio414,"Kenosha, WI",False,179737,1430,1697,2009-07-01 21:58:10+00:00
Arrive Alive,_ArriveAlive,South Africa,True,225426,266814,976,2010-06-11 08:01:05+00:00
Gurbaksh Singh Chahal,gchahal,"Hong Kong | Bay Area, USA",True,59931,516284,158978,2008-04-13 01:22:47+00:00
Arrive Alive,_ArriveAlive,South Africa,True,225426,266814,976,2010-06-11 08:01:05+00:00
ElgonWilliams,ElgonWilliams,"Las Vegas, NV - USA",False,80383,27660,23258,2009-08-08 03:39:20+00:00
The Asian Affairs,TheAsianAffairs,,False,4888,2015,130,2021-01-04 12:08:48+00:00
Shaina.Walker35psjIY,walker35psjiy,,False,2977,5,2,2022-09-27 23:37:05+00:00
Delmwa Deshi - Kura,DelmwaDeshiK,Nigeria,False,152,6662,877,2018-05-21 19:35:59+00:00
Shoutbooksy,ShoutBooksy,"California, USA",False,11351,2177,4830,2021-05-13 19:28:39+00:00
Ashish Bhatia,erashish14,Noida/Kanpur,False,21597,383,146,2009-08-08 07:30:36+00:00
Anne Williams,Williams13Anne,"Wetherby, West Yorkshire",False,71267,10550,3559,2013-01-12 23:01:41+00:00
